state,county,footprints,current_tennis,current_hybrid,current_pickleball,current_padel,current_removed,current_unknown,pickleball_courts,pickleball_footprints_uncounted,ever_tennis,tennis_to_hybrid,tennis_or_hybrid_to_pickleball,tennis_or_hybrid_to_padel,tennis_or_hybrid_to_removed,needs_review,reviewed_courts
OH,Adams,2,0,2,0,0,0,0,0,0,2,3,0,0,0,2,0
OH,Allen,43,33,8,1,0,1,0,1,0,43,17,1,0,2,21,0
OH,Ashland,3,1,2,0,0,0,0,0,0,3,1,0,0,0,1,0
OH,Ashtabula,33,30,3,0,0,0,0,0,0,33,20,0,0,1,29,0
OH,Athens,20,6,5,2,0,7,0,0,2,13,9,2,0,0,12,0
OH,Auglaize,33,24,2,3,0,4,0,4,1,31,8,3,0,2,20,0
OH,Belmont,10,5,0,2,0,3,0,4,0,8,1,0,0,3,5,0
OH,Brown,19,8,7,1,0,3,0,2,0,18,6,4,0,2,14,0
OH,Butler,274,149,58,25,0,42,0,48,2,252,103,18,0,39,142,0
OH,Carroll,6,0,5,0,0,1,0,0,0,5,4,0,0,0,6,0
OH,Champaign,9,7,1,0,0,1,0,0,0,9,3,0,0,2,9,0
OH,Clark,77,47,22,1,0,7,0,0,1,77,41,1,0,7,43,0
OH,Clermont,114,73,6,14,0,21,0,10,7,100,36,11,0,13,63,0
OH,Clinton,38,25,4,4,0,5,0,0,4,37,9,5,0,4,19,0
OH,Columbiana,14,7,3,0,0,4,0,0,0,13,3,0,0,4,9,0
OH,Coshocton,13,7,1,4,0,1,0,7,0,11,1,2,0,1,5,0
OH,Crawford,14,7,6,0,0,1,0,0,0,14,10,0,0,1,10,0
OH,Cuyahoga,329,224,54,13,1,37,0,11,4,312,124,16,0,25,197,0
OH,Darke,20,15,0,0,0,5,0,0,0,19,1,0,0,4,4,0
OH,Delaware,213,130,35,7,0,41,0,7,2,179,79,1,0,18,144,0
OH,Fairfield,70,37,18,3,0,12,0,2,1,61,27,2,0,4,38,0
OH,Fayette,22,5,6,6,0,5,0,6,0,15,4,4,0,0,16,0
OH,Franklin,815,444,186,41,0,144,0,44,9,718,247,27,0,89,428,0
OH,Gallia,6,2,1,0,0,3,0,0,0,5,4,0,0,2,5,0
OH,Geauga,123,66,37,2,0,18,0,2,1,119,67,3,0,14,83,0
OH,Greene,128,72,34,5,0,17,0,1,4,123,49,11,0,13,70,0
OH,Guernsey,7,7,0,0,0,0,0,0,0,7,3,0,0,0,4,0
OH,Hamilton,900,433,219,63,4,181,0,52,29,801,332,69,2,132,491,0
OH,Hardin,18,16,1,0,0,1,0,0,0,18,1,0,0,1,9,0
OH,Harrison,5,1,2,0,0,2,0,0,0,3,0,0,0,2,3,0
OH,Highland,14,11,0,0,0,3,0,0,0,14,2,0,0,4,9,0
OH,Hocking,11,5,5,0,0,1,0,0,0,10,11,0,0,0,8,0
OH,Holmes,12,9,2,1,0,0,0,0,1,12,6,1,0,0,9,0
OH,Jackson,18,3,2,0,0,13,0,0,0,10,0,0,0,5,14,0
OH,Jefferson,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0
OH,Knox,49,21,19,2,0,7,0,4,0,44,29,0,0,4,41,0
OH,Lake,118,67,22,13,0,16,0,19,2,110,66,13,0,10,71,0
OH,Lawrence,13,1,0,2,0,10,0,6,0,10,1,0,0,10,11,0
OH,Licking,75,41,14,1,0,19,0,0,1,66,32,1,0,12,44,0
OH,Logan,11,9,1,1,0,0,0,2,0,11,1,1,0,1,10,0
OH,Madison,27,9,8,2,0,8,0,4,0,21,13,2,0,5,16,0
OH,Mahoning,8,2,4,0,0,2,0,0,0,7,8,0,0,2,6,0
OH,Marion,24,15,1,2,0,6,0,2,0,24,7,2,0,6,8,0
OH,Meigs,4,2,2,0,0,0,0,0,0,4,5,0,0,2,4,0
OH,Mercer,22,10,7,2,0,3,0,4,0,20,8,2,0,1,14,0
OH,Miami,72,57,3,5,0,7,0,12,1,67,12,4,0,5,35,0
OH,Monroe,4,2,0,0,0,2,0,0,0,4,0,0,0,2,1,0
OH,Montgomery,446,262,81,27,0,76,0,49,3,409,161,12,1,61,248,0
OH,Morgan,4,2,2,0,0,0,0,0,0,4,2,0,0,0,4,0
OH,Morrow,11,5,1,0,0,5,0,0,0,9,10,0,0,3,9,0
OH,Muskingum,18,1,8,4,0,5,0,1,3,16,8,4,0,4,12,0
OH,Noble,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0
OH,Perry,4,0,3,0,0,1,0,0,0,4,4,0,0,2,4,0
OH,Pickaway,21,16,1,0,0,4,0,0,0,19,2,0,0,3,15,0
OH,Pike,8,7,1,0,0,0,0,0,0,8,1,1,0,1,3,0
OH,Portage,72,58,8,0,0,6,0,0,0,71,30,0,0,5,38,0
OH,Preble,15,11,2,1,0,1,0,0,1,15,4,1,0,1,8,0
OH,Richland,62,36,9,1,0,16,0,1,0,60,22,2,0,15,35,0
OH,Ross,12,11,0,0,0,1,0,0,0,12,6,0,0,1,7,0
OH,Scioto,52,26,10,10,0,6,0,10,0,47,34,5,1,12,39,0
OH,Shelby,39,23,6,5,0,5,0,4,1,37,5,8,0,5,12,0
OH,Stark,155,110,25,4,0,16,0,4,0,150,66,4,0,11,90,0
OH,Summit,282,160,42,14,0,66,0,11,7,236,100,11,0,25,183,0
OH,Trumbull,25,9,8,0,0,8,0,0,0,24,14,0,0,7,20,0
OH,Tuscarawas,30,15,6,2,0,7,0,0,2,28,19,0,0,8,23,0
OH,Union,36,22,8,3,0,3,0,2,1,31,17,1,0,1,26,0
OH,Vinton,6,3,3,0,0,0,0,0,0,6,7,0,0,0,5,0
OH,Warren,212,127,60,6,0,19,0,0,6,203,122,13,0,14,138,0
OH,Washington,35,30,0,0,0,5,0,0,0,34,11,0,0,5,17,0
OH,Wayne,16,12,2,0,0,2,0,0,0,16,5,0,0,2,9,0
