crop_id,class,labeler,note
oh_3916667_-8459136:fa81317:2023,hybrid,claude-code,two pickleball courts drawn lengthwise on tennis footprint
oh_3911334_-8460911:fd09a84:2023,tennis,claude-code,
oh_3916667_-8459136:fe35c25:2023,hybrid,claude-code,
oh_3917305_-8470508:fd27ff5:2023,unknown,claude-code,
oh_3908555_-8459768:ff6a906:2023,tennis,claude-code,
oh_3908555_-8459768:f658f80:2023,unknown,claude-code,
oh_3910197_-8461058:f31aa34:2023,tennis,claude-code,
oh_3913488_-8463969:f64e340:2023,unknown,claude-code,
oh_3909556_-8456863:f7f2327:2023,removed,claude-code,cracked abandoned slab
oh_3908741_-8462895:f6ee336:2023,unknown,claude-code,
oh_3909865_-8463312:fbc670a:2023,removed,claude-code,basketball court on footprint
oh_3917402_-8474933:f98a9ee:2023,tennis,claude-code,
oh_3913488_-8463969:f293b47:2023,hybrid,claude-code,
oh_3914711_-8458754:fa9dc97:2023,tennis,claude-code,
oh_3913491_-8461064:f8ee62d:2023,hybrid,claude-code,
oh_3917305_-8470508:f760018:2023,hybrid,claude-code,
oh_3913491_-8461064:fe89a47:2023,pickleball,claude-code,
oh_3914712_-8464763:f6e18a9:2023,tennis,claude-code,
oh_3908015_-8461682:fd73785:2023,removed,claude-code,basketball court
oh_3912431_-8456662:fa68584:2023,tennis,claude-code,
oh_3915311_-8466972:f5c1e9f:2023,pickleball,claude-code,three pickleball courts in column
oh_3918602_-8458759:f88e995:2023,tennis,claude-code,
oh_3912431_-8456662:f875907:2023,tennis,claude-code,
oh_3913488_-8463969:f18d529:2023,pickleball,claude-code,"two pickleball courts on slab, no tennis lines"
oh_3909556_-8456863:f479434:2023,tennis,claude-code,
oh_3918602_-8458759:f36d8f3:2023,tennis,claude-code,
oh_3909556_-8456863:f3b1dd9:2023,tennis,claude-code,
oh_3917402_-8474933:f08335e:2023,tennis,claude-code,
oh_3917305_-8470508:f119247:2023,unknown,claude-code,
oh_3913883_-8461024:fd49e80:2023,removed,claude-code,grass
oh_3918602_-8458759:fdf6377:2023,tennis,claude-code,
oh_3914175_-8465730:ffeec32:2023,removed,claude-code,
oh_3908590_-8462874:fb195bd:2023,removed,claude-code,bare gravel
oh_3914711_-8458754:fa14bb0:2023,tennis,claude-code,
oh_3908282_-8462567:f12032f:2023,unknown,claude-code,
oh_3914711_-8458754:f004053:2023,tennis,claude-code,
oh_3919046_-8466010:f7f8391:2023,tennis,claude-code,
oh_3918602_-8458759:fde84ff:2023,tennis,claude-code,
oh_3909139_-8463436:fda52e4:2023,unknown,claude-code,
oh_3915569_-8461994:fdb588b:2023,tennis,claude-code,
oh_3913209_-8468421:f6e15eb:2023,unknown,claude-code,
oh_3915569_-8461994:fc34cfd:2023,tennis,claude-code,
oh_3909556_-8456863:fe2f17f:2023,unknown,claude-code,
oh_3918154_-8460075:f2ebf7a:2023,hybrid,claude-code,
oh_3909556_-8456863:f4fc21f:2023,unknown,claude-code,
oh_3908555_-8459768:f4af1c1:2023,removed,claude-code,basketball court
oh_3912431_-8456662:fb4faf8:2023,tennis,claude-code,
oh_3914712_-8464763:f026383:2023,tennis,claude-code,
oh_3913488_-8463969:f835f81:2023,hybrid,claude-code,
oh_3908555_-8459768:f65494c:2023,unknown,claude-code,
oh_3917402_-8474933:f44db95:2023,tennis,claude-code,
oh_3913209_-8468421:f24b5a7:2023,unknown,claude-code,
oh_3909546_-8464147:f521cd9:2023,removed,claude-code,roof
oh_3915569_-8461994:ff7f4ec:2023,tennis,claude-code,
oh_3911816_-8455138:f2caa76:2023,tennis,claude-code,
oh_3908846_-8459179:fba09ed:2023,unknown,claude-code,
oh_3918602_-8458759:fb7b311:2023,tennis,claude-code,
oh_3912431_-8456662:fad338a:2023,tennis,claude-code,
oh_3909546_-8464147:f9b8516:2023,removed,claude-code,roof
oh_3915320_-8458811:f4dbf1c:2023,unknown,claude-code,
oh_3914712_-8464763:f973d68:2011,tennis,claude-code,
oh_3909556_-8456863:fb803f0:2019,tennis,claude-code,
oh_3908406_-8462136:f5c8357:2019,tennis,claude-code,
oh_3908846_-8459179:fba09ed:2011,tennis,claude-code,
oh_3909546_-8464147:f0625c2:2021,removed,claude-code,roof
oh_3914711_-8458754:f6e2143:2011,tennis,claude-code,
oh_3918602_-8458759:f88e995:2021,tennis,claude-code,
oh_3910137_-8462545:f11a104:2017,unknown,claude-code,
oh_3914711_-8458754:fa14bb0:2021,tennis,claude-code,
oh_3908282_-8462567:f344a76:2011,tennis,claude-code,
oh_3911281_-8464175:ff07f62:2013,tennis,claude-code,
oh_3908282_-8462567:f344a76:2021,tennis,claude-code,
oh_3908555_-8459768:f658f80:2020,tennis,claude-code,
oh_3909556_-8456863:f479434:2021,tennis,claude-code,
oh_3915569_-8461994:ff7f4ec:2017,tennis,claude-code,
oh_3908590_-8462874:fb195bd:2015,unknown,claude-code,
oh_3909556_-8456863:fb803f0:2012,tennis,claude-code,
oh_3912431_-8456662:fe94873:2020,tennis,claude-code,
oh_3914711_-8458754:fa9dc97:2013,tennis,claude-code,
oh_3913488_-8463969:f98f14b:2019,unknown,claude-code,
oh_3913488_-8463969:f64e340:2021,unknown,claude-code,
oh_3913209_-8468421:f24b5a7:2021,unknown,claude-code,
oh_3917402_-8474933:f44db95:2016,tennis,claude-code,
oh_3915569_-8461994:fc34cfd:2019,tennis,claude-code,
oh_3908555_-8459768:f65494c:2014,tennis,claude-code,
oh_3918602_-8458759:f88e995:2011,unknown,claude-code,
oh_3914175_-8465730:ffeec32:2015,removed,claude-code,bare dirt
oh_3908282_-8462567:f12032f:2021,unknown,claude-code,
oh_3909556_-8456863:fb803f0:2021,tennis,claude-code,
oh_3917305_-8470508:fd27ff5:2011,unknown,claude-code,
oh_3918154_-8460075:f2ebf7a:2017,tennis,claude-code,
oh_3915569_-8461994:fdb588b:2021,tennis,claude-code,
